canonical_id,opus_raw_id,in_uploaded_opus_merged,in_v0_7_canonical,in_v0_7_public_runtime,id_status,candidate_strategy_field_count,candidate_mechanic_claim_count,ability_by_key_name_mismatch_count,legacy_abilities_dict_name_mismatch_count,risk_flags
garen,garen,True,True,True,matched,8,20,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
gnar,gnar,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
gragas,gragas,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
graves,graves,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
gwen,gwen,True,True,True,matched,7,2,0,1,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
hecarim,hecarim,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
heimerdinger,heimerdinger,True,True,True,matched,7,4,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
hwei,,False,True,False,unmatched,0,0,0,0,
irelia,irelia,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
janna,janna,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
jarvan_iv,jarvan_iv,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
jax,jax,True,True,True,matched,7,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
jayce,jayce,True,True,True,matched,7,2,0,3,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
jhin,jhin,True,True,True,matched,7,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
jinx,jinx,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
kaisa,kai_sa,True,True,True,matched_after_alias_normalization,7,3,0,1,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
kalista,kalista,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
karma,karma,True,True,True,matched,7,0,0,2,karma_legacy_abilities_dict_conflicts_with_protected_lock;karma_abilities_by_key_matches_protected_lock;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
kassadin,kassadin,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
katarina,katarina,True,True,True,matched,7,1,0,1,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
kayle,kayle,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
kayn,kayn,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
kennen,kennen,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
khazix,kha_zix,True,True,True,matched_after_alias_normalization,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
kindred,kindred,True,True,True,matched,0,0,0,0,
kogmaw,kog_maw,True,True,True,matched_after_alias_normalization,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
ksante,k_sante,True,True,True,matched_after_alias_normalization,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
lee_sin,lee_sin,True,True,True,matched,6,1,0,3,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
leona,leona,True,True,True,matched,6,0,0,0,contains_strategy_or_meta_overlay_candidates
lillia,lillia,True,True,True,matched,6,0,0,0,contains_strategy_or_meta_overlay_candidates
